authorId,name,affiliations,email
145298798,S. Fuentes,University of Washington,S._Fuentes@gmail.com
30772377,E. Tongson,Yale University,E._Tongson@gmail.com
21058844,R. Unnithan,University of Pennsylvania,R._Unnithan@gmail.com
13288046,Claudia Gonzalez Viejo,University of Washington,Claudia_Gonzalez_Viejo@gmail.com
2120099756,Xin Liu,University of Pennsylvania,Xin_Liu@gmail.com
145688317,Anwitaman Datta,"University of California, San Diego",Anwitaman_Datta@gmail.com
1709901,Ee-Peng Lim,"University of California, San Diego",Ee-Peng_Lim@gmail.com
143701176,Knut Hinkelmann,FHNW University of Applied Sciences and Arts Northwestern Switzerland,Knut_Hinkelmann@gmail.com
2109247625,Sajjad Ahmed,Yale University,Sajjad_Ahmed@gmail.com
1695958,F. Corradini,University of Cambridge,F._Corradini@gmail.com
1728262,A. Negi,University of Cambridge,A._Negi@gmail.com
2292166946,Kishore Kumar,Massachusetts Institute of Technology,Kishore_Kumar@gmail.com
2225845486,Gaurang Sonkavde,University of Washington,Gaurang_Sonkavde@gmail.com
51887595,D. Dharrao,Columbia University,D._Dharrao@gmail.com
9192419,A. Bongale,Harvard University,A._Bongale@gmail.com
46610789,S. Deokate,University of Oxford,S._Deokate@gmail.com
116853525,D. Doreswamy,University of Oxford,D._Doreswamy@gmail.com
50378805,Subraya Krishna Bhat,University of Oxford,Subraya_Krishna_Bhat@gmail.com
8552088,Brankica Bratić,University of Chicago,Brankica_Bratić@gmail.com
3113695,V. Kurbalija,University of Michigan,V._Kurbalija@gmail.com
144395551,M. Ivanović,University of Michigan,M._Ivanović@gmail.com
51480852,Iztok Oder,California Institute of Technology,Iztok_Oder@gmail.com
2025112,Z. Bosnić,University of Chicago,Z._Bosnić@gmail.com
145508283,Daniil Kononenko,Columbia University,Daniil_Kononenko@gmail.com
2825246,Yaroslav Ganin,University of Washington,Yaroslav_Ganin@gmail.com
2690172,Diana Sungatullina,University of Pennsylvania,Diana_Sungatullina@gmail.com
1740145,V. Lempitsky,Stanford University,V._Lempitsky@gmail.com
2068611376,N. Tran,"University of California, Berkeley",N._Tran@gmail.com
1830412825,Samer Albahra,Yale University,Samer_Albahra@gmail.com
5371772,L. May,University of Pennsylvania,L._May@gmail.com
46611479,S. Waldman,"University of California, Los Angeles",S._Waldman@gmail.com
2148536328,Scott Crabtree,University of Chicago,Scott_Crabtree@gmail.com
2143549636,Scott Bainbridge,California Institute of Technology,Scott_Bainbridge@gmail.com
31682040,H. Rashidi,University of Chicago,H._Rashidi@gmail.com
2112820873,HaiBo Cui,Yale University,HaiBo_Cui@gmail.com
6989114,Jingjing Zhai,Princeton University,Jingjing_Zhai@gmail.com
49679382,Chuang Ma,University of Cambridge,Chuang_Ma@gmail.com
49170958,Y. Kim,University of Washington,Y._Kim@gmail.com
2242129,Youngdoo Son,Stanford University,Youngdoo_Son@gmail.com
2821001,Wonjoon Kim,Yale University,Wonjoon_Kim@gmail.com
2996101,Byungki Jin,University of Oxford,Byungki_Jin@gmail.com
1716140,M. Yun,University of Pennsylvania,M._Yun@gmail.com
2119657963,Bowen Yang,Columbia University,Bowen_Yang@gmail.com
4713365,F. Haghighat,University of Oxford,F._Haghighat@gmail.com
1760762,B. Fung,Princeton University,B._Fung@gmail.com
95356210,K. Panchabikesan,Massachusetts Institute of Technology,K._Panchabikesan@gmail.com
153446958,W. Kew,University of Washington,W._Kew@gmail.com
1988489309,J. Mitchell,"University of California, San Diego",J._Mitchell@gmail.com
2719667,K. Saho,Harvard University,K._Saho@gmail.com
1383246948,Sora Hayashi,California Institute of Technology,Sora_Hayashi@gmail.com
2156211656,Mutsuki Tsuyama,University of Chicago,Mutsuki_Tsuyama@gmail.com
2113608835,Lin Meng,Harvard University,Lin_Meng@gmail.com
2328680,M. Masugi,University of Chicago,M._Masugi@gmail.com
51437071,P. Bidyuk,University of Michigan,P._Bidyuk@gmail.com
28354393,A. Gozhyj,Yale University,A._Gozhyj@gmail.com
1571154002,I. Kalinina,Massachusetts Institute of Technology,I._Kalinina@gmail.com
9077801,V. Vysotska,Yale University,V._Vysotska@gmail.com
2108345188,A. Khan,California Institute of Technology,A._Khan@gmail.com
2155759677,Sania Malik,"University of California, San Diego",Sania_Malik@gmail.com
2061506769,Muhammad Tahir,Stanford University,Muhammad_Tahir@gmail.com
3421647,Muhammad Sardaraz,University of Michigan,Muhammad_Sardaraz@gmail.com
3447178,Abdullah Alourani,Princeton University,Abdullah_Alourani@gmail.com
6663691,A. Ojugo,Columbia University,A._Ojugo@gmail.com
2252391713,E. Ben-Iwhiwhu,Stanford University,E._Ben-Iwhiwhu@gmail.com
1407517288,O. Kekeje,University of Chicago,O._Kekeje@gmail.com
31003228,M. Yerokun,University of Pennsylvania,M._Yerokun@gmail.com
69934652,I. Iyawa,University of Pennsylvania,I._Iyawa@gmail.com
46215736,M. Rigaki,University of Chicago,M._Rigaki@gmail.com
32015343,S. García,University of Michigan,S._García@gmail.com
2003406528,Yu Qian Ang,"University of California, Berkeley",Yu_Qian_Ang@gmail.com
118187689,Andrew Chia,Yale University,Andrew_Chia@gmail.com
2096503,S. Saghafian,"University of California, Los Angeles",S._Saghafian@gmail.com
2176917730,R. Gayathri,Massachusetts Institute of Technology,R._Gayathri@gmail.com
120023248,Shola Usha Rani,"University of California, Berkeley",Shola_Usha_Rani@gmail.com
95718172,L. Čepová,University of Pennsylvania,L._Čepová@gmail.com
47338149,Murugesan Rajesh,University of Oxford,Murugesan_Rajesh@gmail.com
152169856,K. Kalita,"University of California, Berkeley",K._Kalita@gmail.com
144474086,P. Flach,University of Cambridge,P._Flach@gmail.com
2134980329,B. England,Yale University,B._England@gmail.com
2119900968,Yangyuna Yang,University of Chicago,Yangyuna_Yang@gmail.com
90578406,P. Roul,University of Cambridge,P._Roul@gmail.com
2052438769,Christian Haas,Stanford University,Christian_Haas@gmail.com
1786901,Lotfollah Najjar,University of Oxford,Lotfollah_Najjar@gmail.com
144666716,H. Sayles,University of Pennsylvania,H._Sayles@gmail.com
2155384519,Fang Yu,"University of California, Los Angeles",Fang_Yu@gmail.com
2134646970,B. Sauer,Princeton University,B._Sauer@gmail.com
2487706,J. Baker,Princeton University,J._Baker@gmail.com
3433755,F. Xie,Columbia University,F._Xie@gmail.com
4130329,K. Michaud,Yale University,K._Michaud@gmail.com
40329126,J. Curtis,University of Cambridge,J._Curtis@gmail.com
144656316,T. Mikuls,University of Pennsylvania,T._Mikuls@gmail.com
46182701,Fangcheng Fu,"University of California, San Diego",Fangcheng_Fu@gmail.com
151030607,Huanran Xue,University of Michigan,Huanran_Xue@gmail.com
2157394918,Yong Cheng,University of Cambridge,Yong_Cheng@gmail.com
2105710451,Yangyu Tao,Harvard University,Yangyu_Tao@gmail.com
2154678637,Bin Cui,"University of California, San Diego",Bin_Cui@gmail.com
2150905424,Saurabh Shukla,"University of California, Berkeley",Saurabh_Shukla@gmail.com
1700114,M. Hassan,Massachusetts Institute of Technology,M._Hassan@gmail.com
1840964,L. T. Jung,California Institute of Technology,L._T._Jung@gmail.com
2872282,Azlan Awang,Princeton University,Azlan_Awang@gmail.com
2115772042,Muhammad Khalid Khan,Princeton University,Muhammad_Khalid_Khan@gmail.com
1405052048,Bilal Abu-Salih,"University of California, Berkeley",Bilal_Abu-Salih@gmail.com
1410440899,Bushra Bremie,Harvard University,Bushra_Bremie@gmail.com
145036570,P. Wongthongtham,Princeton University,P._Wongthongtham@gmail.com
2153849107,Ke Duan,Harvard University,Ke_Duan@gmail.com
3044274,T. Issa,Massachusetts Institute of Technology,T._Issa@gmail.com
10939631,Kit Yan Chan,University of Michigan,Kit_Yan_Chan@gmail.com
1410445592,Mohammad Alhabashneh,University of Chicago,Mohammad_Alhabashneh@gmail.com
1410415538,Teshreen Albtoush,Massachusetts Institute of Technology,Teshreen_Albtoush@gmail.com
51464567,Sulaiman Alqahtani,"University of California, Los Angeles",Sulaiman_Alqahtani@gmail.com
2057134706,Abdullah Alqahtani,Massachusetts Institute of Technology,Abdullah_Alqahtani@gmail.com
73774023,Muteeb Alahmari,"University of California, Los Angeles",Muteeb_Alahmari@gmail.com
73771362,Naser Alshareef,Massachusetts Institute of Technology,Naser_Alshareef@gmail.com
73773430,Abdulaziz Albahlal,University of Cambridge,Abdulaziz_Albahlal@gmail.com
